datetime,code,action,volume,price,commission,tax,pnl,amount
2020-01-02,002540.SZ,buy,4500,4.294289999999999,5.797291499999998,0.0,0.0,19324.304999999997
2020-01-02,600019.SH,buy,3300,5.805799999999999,5.747741999999998,0.0,0.0,19159.139999999996
2020-01-02,000036.SZ,buy,4400,4.32432,5.7081024,0.0,0.0,19027.008
2020-01-02,002088.SZ,buy,1700,10.8108,5.513508,0.0,0.0,18378.36
2020-01-02,600188.SH,buy,1800,10.610599999999998,5.729723999999999,0.0,0.0,19099.079999999998
2020-01-09,002540.SZ,sell,4500,4.975020000000001,6.716277000000001,22.387590000000003,3033.9572571000062,22387.590000000004
2020-01-09,600019.SH,buy,1100,5.805799999999999,5.0,0.0,0.0,6386.379999999998
2020-01-09,000036.SZ,buy,900,4.23423,5.0,0.0,0.0,3810.8070000000002
2020-01-09,002088.SZ,buy,900,10.790779999999998,5.0,0.0,0.0,9711.701999999997
2020-01-09,600348.SH,buy,1300,5.525519999999999,5.0,0.0,0.0,7183.1759999999995
2020-01-16,600188.SH,sell,1800,10.12986,5.4701243999999996,18.233748,-889.2182098799951,18233.748
2020-01-16,600019.SH,buy,400,5.645639999999999,5.0,0.0,0.0,2258.256
2020-01-16,000036.SZ,buy,100,4.19419,5.0,0.0,0.0,419.419
2020-01-16,600348.SH,buy,2900,5.38538,5.0,0.0,0.0,15617.601999999999
2020-01-23,002088.SZ,sell,2600,10.15983,7.924667399999999,26.415557999999997,-1709.1083809800011,26415.557999999997
2020-01-23,600028.SH,buy,3700,4.94494,5.488883399999999,0.0,0.0,18296.278
2020-01-23,600019.SH,sell,1300,5.42457,5.0,7.051941,-490.3707937433322,7051.941
2020-01-23,000036.SZ,sell,700,3.92607,5.0,2.7482490000000004,-274.3533611196302,2748.2490000000003
2020-01-23,002713.SZ,buy,2700,6.486479999999999,5.2540488,0.0,0.0,17513.496
2020-02-07,000036.SZ,sell,4700,3.45654,5.0,16.245738,-4018.0775657503755,16245.738
2020-02-07,002713.SZ,sell,2700,5.78421,5.0,15.617367,-1916.9025406699989,15617.367
2020-02-07,600019.SH,sell,3500,5.214779999999999,5.4755189999999985,18.251729999999995,-2045.7664329666663,18251.729999999996
2020-02-07,600028.SH,sell,3700,4.72527,5.245049699999999,17.483499000000002,-835.6823836899994,17483.499
2020-02-07,600348.SH,sell,4200,4.72527,5.9538402,19.846134000000003,-2980.6424355399995,19846.134000000002
2020-02-07,300283.SZ,buy,4300,3.9639599999999997,5.113508399999999,0.0,0.0,17045.028
2020-02-07,300746.SZ,buy,1500,11.16115,5.022517499999999,0.0,0.0,16741.725
2020-02-07,300354.SZ,buy,1500,11.131119999999997,5.009003999999998,0.0,0.0,16696.679999999997
2020-02-07,300749.SZ,buy,1500,10.990979999999999,5.0,0.0,0.0,16486.469999999998
2020-02-07,300752.SZ,buy,600,24.57455,5.0,0.0,0.0,14744.73
2020-02-14,300752.SZ,buy,200,25.20518,5.0,0.0,0.0,5041.036
2020-02-21,300354.SZ,sell,1500,12.46752,5.610383999999999,18.70128,1980.1013232000043,18701.28
2020-02-21,300749.SZ,sell,1500,12.60738,5.673321,18.91107,2399.8264983000004,18911.07
2020-02-21,300752.SZ,sell,800,27.8721,6.689304,22.29768,2482.7040391999985,22297.68
2020-02-21,002667.SZ,buy,2900,6.486479999999999,5.643237599999999,0.0,0.0,18810.791999999998
2020-02-21,300746.SZ,buy,100,12.24223,5.0,0.0,0.0,1224.223
2020-02-21,603897.SH,buy,1000,18.13812,5.4414359999999995,0.0,0.0,18138.12
2020-02-21,603059.SH,buy,700,25.77575,5.412907499999998,0.0,0.0,18043.024999999998
2020-02-28,603059.SH,sell,700,23.216759999999997,5.0,16.251731999999997,-1812.707249320001,16251.731999999998
2020-02-28,603897.SH,buy,200,16.56655,5.0,0.0,0.0,3313.31
2020-02-28,603790.SH,buy,1300,12.792779999999999,5.0,0.0,0.0,16630.613999999998
2020-03-06,002667.SZ,sell,2900,7.392600000000001,6.431562,21.43854,2599.6635126000037,21438.54
2020-03-06,603790.SH,sell,1300,14.095889999999999,5.4973971,18.324657,1670.0376993300006,18324.657
2020-03-06,603897.SH,buy,100,18.558539999999997,5.0,0.0,0.0,1855.8539999999998
2020-03-06,300283.SZ,buy,200,4.66466,5.0,0.0,0.0,932.9319999999999
2020-03-06,603192.SH,buy,700,26.44642,5.553748199999999,0.0,0.0,18512.494
2020-03-06,300752.SZ,buy,700,26.71669,5.6105049,0.0,0.0,18701.683
2020-03-13,300283.SZ,sell,4500,4.86513,6.567925499999999,21.893085,3886.445058649999,21893.085
2020-03-13,603192.SH,sell,700,26.073900000000002,5.475518999999999,18.25173,-284.6737662999986,18251.73
2020-03-13,300752.SZ,buy,400,24.504479999999997,5.0,0.0,0.0,9801.792
2020-03-13,603790.SH,buy,1400,12.99298,5.457051599999999,0.0,0.0,18190.172
2020-03-13,300749.SZ,buy,1000,11.831819999999999,5.0,0.0,0.0,11831.819999999998
2020-03-20,300752.SZ,sell,1100,23.34663,7.7043878999999995,25.681293000000004,-2855.8244938299986,25681.293
2020-03-20,603790.SH,sell,1400,12.497489999999999,5.248945799999999,17.496485999999997,-716.6063966600003,17496.485999999997
2020-03-20,300749.SZ,buy,500,11.361349999999998,5.0,0.0,0.0,5680.674999999999
2020-03-20,300283.SZ,buy,4000,4.63463,5.561555999999999,0.0,0.0,18538.519999999997
2020-03-20,002942.SZ,buy,700,23.963939999999997,5.032427399999999,0.0,0.0,16774.757999999998
2020-03-27,300283.SZ,sell,4000,4.4955,5.3946,17.982,-580.076419999999,17982.0
2020-03-27,603897.SH,sell,1300,17.792189999999998,6.938954099999998,23.129846999999998,-207.7370995700026,23129.846999999998
2020-03-27,002942.SZ,buy,200,24.334309999999995,5.0,0.0,0.0,4866.861999999999
2020-03-27,300354.SZ,buy,1600,11.511499999999998,5.525519999999998,0.0,0.0,18418.399999999998
